Date,Open,High,Low,Close,Volume,Adj Close
4/29/2013,318.1,325,316.65,324.65,4136200,314.14
4/26/2013,317.5,319.85,316.7,318.9,4303700,308.58
4/25/2013,315.35,323.25,315.2,319.85,12373900,309.49
4/24/2013,317.6,317.6,317.6,317.6,0,307.32
4/23/2013,317.5,318,314.05,317.6,2913800,307.32
4/22/2013,313.65,318,313.05,317,4549400,306.74
4/19/2013,315.3,315.3,315.3,315.3,0,305.09
4/18/2013,311.1,316.5,310.3,315.3,5883900,305.09
4/17/2013,308,314,307.1,313.1,7515900,302.96
4/16/2013,299.85,308.9,297.7,307.95,6720700,297.98
4/15/2013,292,300.9,289.2,299.95,7499900,290.24
4/12/2013,287.85,295.65,286,292.9,8627700,283.42
4/11/2013,287.6,288.85,283.35,284.3,10182600,275.1
4/10/2013,291,291,281.15,284.85,8947300,275.63
4/9/2013,293.25,295.45,285.95,287.2,6210100,277.9
4/8/2013,292.45,293.8,285.6,292.85,5037600,283.37
4/5/2013,299.45,299.45,290,291.3,7040700,281.87
4/4/2013,306.9,307.35,298.6,299.1,4437500,289.42
4/3/2013,306.95,309.4,304.35,307.6,4825300,297.64
4/2/2013,306.6,308.6,304.4,307.15,4086700,297.21
4/1/2013,309,309.9,305.7,307.2,2706200,297.25
3/29/2013,309.45,309.45,309.45,309.45,0,299.43
3/28/2013,307.7,310,304.6,309.45,8318600,299.43
3/27/2013,306.35,306.35,306.35,306.35,0,296.43
3/26/2013,303,308,302,306.35,5984400,296.43
3/25/2013,306.15,308,301.25,302.4,6132900,292.61
3/22/2013,306.4,307,303.15,305.6,5132900,295.71
3/21/2013,307.25,307.9,304.2,305,9374100,295.13
3/20/2013,305,308,304.15,307.2,10151900,297.25
3/19/2013,307,307.5,303.65,306.3,8507900,296.38
3/18/2013,300.8,305.4,300.55,304.25,4040100,294.4
3/15/2013,302.05,303,301.15,301.9,6291300,292.13
3/14/2013,301.65,303.9,300,301.9,5520100,292.13
3/13/2013,298,302.75,298,301.65,7471600,291.88
3/12/2013,296.9,300.45,295.2,298.85,4024000,289.17
3/11/2013,298,299.5,296.5,297.55,4420100,287.92
3/8/2013,294.45,299,292.45,297.7,6016500,288.06
3/7/2013,286.15,294.8,285.25,292.35,10555900,282.88
3/6/2013,295.85,295.85,286.35,287.05,9602200,277.76
3/5/2013,293.7,297.7,290,292.6,10150000,283.13
3/4/2013,291.25,294.05,284.6,292.5,9152000,283.03
3/1/2013,295,297.7,289,291.25,11240500,281.82
2/28/2013,295.85,303.9,291.2,294.8,32229000,285.26
2/27/2013,292,297.4,291.25,294.8,10635200,285.26
2/26/2013,293,298.35,288.8,290.85,7081500,281.43
2/25/2013,292.9,294.85,289.1,292.65,5501300,283.18
2/22/2013,296,298.25,290.6,292,6519800,282.55
