Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,202.00,204.90,200.00,201.60,2978700,96.747
2013-01-04,200.95,203.25,198.10,201.65,4342100,96.771
2013-01-03,202.00,204.75,201.15,202.20,4411400,97.035
2013-01-02,195.00,202.80,193.85,201.70,6397100,96.795
2013-01-01,189.75,194.25,189.75,193.45,1926700,92.836
2012-12-31,191.00,192.45,188.70,189.40,2125300,90.892
2012-12-28,190.65,192.95,189.25,190.90,2140200,91.612
2012-12-27,193.95,195.35,187.05,189.40,5646900,90.892
2012-12-26,194.00,196.65,192.60,193.25,1874600,92.74
2012-12-25,194.25,194.25,194.25,194.25,000,93.22
2012-12-24,193.45,196.80,192.60,194.25,3242200,93.22
2012-12-21,196.10,199.00,191.60,192.40,5560700,92.332
2012-12-20,188.45,197.55,187.20,195.40,9389000,93.771
2012-12-19,190.90,193.00,187.30,188.55,2469800,90.484
2012-12-18,188.00,193.00,183.50,190.45,5069500,91.396
2012-12-17,183.80,187.70,181.75,187.00,3740200,89.74
2012-12-14,188.00,190.00,182.25,183.35,5107700,87.989
2012-12-13,194.15,197.00,185.70,187.75,3458200,90.10
2012-12-12,191.95,195.30,190.60,193.80,2487600,93.004
2012-12-11,192.25,197.45,188.40,191.45,4005700,91.876
2012-12-10,193.45,195.00,190.55,192.00,2757500,92.14
2012-12-07,196.00,198.00,192.10,193.10,4046200,92.668
2012-12-06,195.15,197.80,190.65,195.65,5958300,93.891
2012-12-05,198.45,201.40,194.10,194.90,5683800,93.532
2012-12-04,192.00,198.40,191.65,197.60,8277700,94.827
2012-12-03,189.30,191.95,188.10,191.10,3698000,91.708
2012-11-30,185.20,189.90,184.00,188.00,5435200,90.22
2012-11-29,181.00,186.50,178.40,184.15,9128600,88.373
2012-11-28,180.15,180.15,180.15,180.15,000,86.453
2012-11-27,179.40,181.80,178.15,180.15,6175500,86.453
2012-11-26,171.00,179.80,167.65,178.90,5977800,85.853
2012-11-23,176.80,179.00,170.00,172.45,9011700,82.758
2012-11-22,178.00,182.00,175.10,176.25,4387600,84.581
2012-11-21,173.00,179.25,172.90,178.75,3870100,85.781
2012-11-20,177.00,179.65,169.65,172.10,5207700,82.59
2012-11-19,177.00,181.00,171.35,174.75,3640100,83.862
2012-11-16,174.00,182.85,173.75,176.65,7693100,84.773
2012-11-15,177.05,178.10,171.95,173.45,2851800,83.238
2012-11-14,178.75,178.75,178.75,178.75,000,85.781
2012-11-13,178.75,178.75,178.75,178.75,000,85.781
2012-11-12,170.60,179.85,170.50,178.75,4633000,85.781
2012-11-09,178.95,181.20,167.30,170.25,11367600,81.702
2012-11-08,174.75,180.00,174.15,178.55,4060500,85.685
2012-11-07,175.20,178.20,173.40,175.65,3101400,84.294
2012-11-06,169.85,176.25,169.60,175.35,4651300,84.15
2012-11-05,170.70,172.90,168.20,169.85,2694500,81.51
2012-11-02,170.95,173.10,167.75,170.30,5885100,81.726
2012-11-01,158.90,171.40,158.90,169.95,9860400,81.558
2012-10-31,161.15,162.80,156.75,158.45,3340300,76.039
2012-10-30,158.50,162.30,156.00,161.40,2737700,77.455
2012-10-29,160.60,162.00,157.60,158.20,2530400,75.919
2012-10-26,163.25,163.25,163.25,163.25,000,78.343
2012-10-25,160.00,164.50,159.15,163.25,3486200,78.343
2012-10-24,159.75,159.75,159.75,159.75,000,76.663
2012-10-23,161.00,162.90,158.15,159.75,2241500,76.663
2012-10-22,156.90,162.90,156.00,161.00,3644300,77.263
2012-10-19,158.95,160.50,155.10,156.90,1658700,75.296
2012-10-18,156.95,161.50,156.50,158.95,3159500,76.279
2012-10-17,155.00,159.00,153.60,156.45,3645400,75.08
2012-10-16,156.00,159.90,152.90,154.65,3549700,74.216
2012-10-15,160.80,160.80,154.45,155.55,3939600,74.648
2012-10-12,159.50,164.80,157.55,159.90,6434400,76.735
2012-10-11,152.25,160.45,150.00,159.50,7606200,76.543
2012-10-10,151.50,154.20,148.65,152.00,7454800,72.944
2012-10-09,144.00,151.00,142.50,149.60,4761600,71.792
2012-10-08,137.55,145.90,137.50,143.45,3589100,68.841
2012-10-05,140.00,143.85,136.10,138.60,4028000,66.513
2012-10-04,147.30,147.30,142.10,144.70,2139200,69.441
2012-10-03,160.00,160.00,144.55,146.45,2976800,70.281
2012-10-02,144.35,144.35,144.35,144.35,000,69.273
2012-10-01,142.75,145.00,141.10,144.35,2463700,69.273
2012-09-28,142.00,144.90,138.85,142.00,4321900,68.145
2012-09-27,140.05,142.75,140.05,140.75,3304400,67.545
2012-09-26,138.50,142.90,136.70,140.70,6158800,67.521
2012-09-25,129.55,138.65,129.55,137.85,6809200,66.154
2012-09-24,129.95,132.70,129.00,129.60,1854400,62.194
2012-09-21,129.05,131.35,126.50,129.80,6269900,62.29
2012-09-20,128.95,134.50,127.20,128.65,5099500,61.738
2012-09-19,129.05,129.05,129.05,129.05,000,61.93
2012-09-18,127.05,131.85,125.10,129.05,2518200,61.93
2012-09-17,126.00,128.65,122.10,127.15,2790900,61.019
2012-09-14,129.50,131.30,124.15,125.80,2100100,60.371
2012-09-13,129.90,132.10,126.10,128.40,3712400,61.618
2012-09-12,131.50,132.40,128.60,129.60,3172600,62.194
2012-09-11,130.50,132.35,129.20,131.30,4125100,63.01
2012-09-10,129.40,133.80,128.40,131.10,7970400,62.914
2012-09-07,121.75,124.00,119.65,123.25,5632100,59.147
2012-09-06,117.00,120.95,116.05,119.35,4917500,57.275
2012-09-05,119.90,120.65,115.60,116.00,2790700,55.668
2012-09-04,120.00,121.25,117.65,118.65,4990500,56.94
2012-09-03,111.65,119.70,111.15,118.25,8881200,56.748
2012-08-31,108.20,111.80,107.50,110.30,1522900,52.932
2012-08-30,113.00,113.00,108.70,109.45,2010400,52.524
2012-08-29,112.60,114.60,110.70,112.15,1346800,53.82
2012-08-28,111.45,113.10,108.10,111.60,1658600,53.556
2012-08-27,112.25,114.70,110.25,111.05,2075800,53.292
2012-08-24,107.25,112.85,106.80,111.90,3940000,53.70
2012-08-23,108.35,109.80,106.35,107.75,1977100,51.709
2012-08-22,104.80,109.25,103.40,107.35,4455700,51.517
2012-08-21,103.80,105.40,102.65,104.70,1407900,50.245
2012-08-20,102.70,102.70,102.70,102.70,000,49.285
2012-08-17,105.05,105.10,102.00,102.70,827700,49.285
2012-08-16,104.85,106.20,103.60,104.00,772000,49.909
2012-08-15,104.10,104.10,104.10,104.10,000,49.957
2012-08-14,103.65,105.60,103.60,104.10,753100,49.957
2012-08-13,103.85,105.75,103.20,105.00,1486700,50.389
2012-08-10,102.55,104.40,101.75,103.10,1804100,49.477
2012-08-09,111.00,111.85,101.30,101.65,5366000,48.781
2012-08-08,112.00,114.00,109.10,110.05,5096800,52.812
2012-08-07,114.10,116.20,108.10,111.90,6682300,53.70
2012-08-06,115.35,115.40,111.70,112.35,1945400,53.916
2012-08-03,112.50,114.75,110.80,113.60,1284900,54.516
2012-08-02,114.05,115.25,111.85,112.55,1488700,54.012
2012-08-01,108.95,114.50,108.65,113.40,2071700,54.42
2012-07-31,104.00,109.50,104.00,109.00,2750600,52.309
2012-07-30,101.80,104.90,100.25,104.45,887000,50.125
2012-07-27,107.90,107.90,100.10,101.25,1019100,47.63
2012-07-26,107.90,108.40,103.00,103.60,1402800,48.735
2012-07-25,108.40,108.70,105.90,107.65,762500,50.64
2012-07-24,109.00,109.65,107.10,108.15,636200,50.875
2012-07-23,108.00,110.40,107.30,108.40,1095600,50.993
2012-07-20,110.50,110.90,108.00,108.40,1244000,50.993
2012-07-19,108.10,112.45,102.40,109.25,766000,51.393
2012-07-18,110.90,111.50,109.50,111.05,791700,52.24
2012-07-17,110.40,112.20,109.50,109.80,991400,51.652
2012-07-16,112.50,113.45,109.60,110.40,1159000,51.934
2012-07-13,112.10,113.70,111.50,112.50,1614800,52.922
2012-07-12,112.65,114.90,111.85,114.15,1142200,53.698
2012-07-11,116.00,116.00,112.50,113.00,635000,53.157
