Date,Open,High,Low,Close,Volume,Adj Close
2013-07-01,2.35,2.60,2.35,2.50,1119400,2.50
2013-06-28,2.40,2.45,2.35,2.35,817900,2.35
2013-06-27,2.40,2.45,2.35,2.35,769400,2.35
2013-06-26,2.45,2.50,2.35,2.40,852000,2.40
2013-06-25,2.35,2.65,2.35,2.45,1377200,2.45
2013-06-24,2.45,2.50,2.35,2.40,402100,2.40
2013-06-21,2.50,2.60,2.50,2.50,704800,2.50
2013-06-20,2.55,2.55,2.45,2.55,1072800,2.55
2013-06-19,2.55,2.60,2.50,2.50,549700,2.50
2013-06-18,2.60,2.60,2.50,2.50,574300,2.50
2013-06-17,2.60,2.60,2.50,2.55,819400,2.55
2013-06-14,2.55,2.65,2.50,2.55,1434200,2.55
2013-06-13,2.65,2.70,2.50,2.55,629100,2.55
2013-06-12,2.70,2.80,2.60,2.70,777100,2.70
2013-06-11,2.80,2.80,2.60,2.65,1117300,2.65
2013-06-10,2.90,2.95,2.70,2.75,1384300,2.75
2013-06-07,3.00,3.15,2.95,3.00,813000,3.00
2013-06-06,3.00,3.05,2.90,3.00,283000,3.00
2013-06-05,2.90,3.10,2.85,3.00,453300,3.00
2013-06-04,2.95,2.95,2.85,2.90,587600,2.90
2013-06-03,3.00,3.00,2.80,2.90,1084500,2.90
2013-05-31,3.10,3.10,2.95,3.00,674000,3.00
2013-05-30,3.00,3.05,3.00,3.05,646500,3.05
2013-05-29,3.00,3.15,2.95,3.05,644400,3.05
2013-05-28,3.00,3.10,2.95,3.00,1033800,3.00
2013-05-27,3.05,3.20,3.00,3.05,576200,3.05
2013-05-24,3.00,3.10,2.95,3.05,574500,3.05
2013-05-23,3.05,3.10,2.95,3.00,863700,3.00
2013-05-22,3.10,3.20,3.00,3.05,520300,3.05
2013-05-21,3.25,3.25,3.00,3.10,904900,3.10
2013-05-20,3.15,3.25,3.10,3.15,697000,3.15
2013-05-17,3.20,3.25,3.10,3.15,782300,3.15
2013-05-16,3.25,3.30,3.20,3.20,424900,3.20
2013-05-15,3.15,3.55,3.15,3.30,2532000,3.30
2013-05-14,3.20,3.25,3.15,3.20,393800,3.20
2013-05-13,3.20,3.35,3.20,3.20,485500,3.20
2013-05-10,3.15,3.30,3.15,3.20,696800,3.20
2013-05-09,3.20,3.30,3.15,3.20,949200,3.20
